track_id,track_name,album_name,release_date,popularity,artist_ids
2tPNj9sUt3FbjEUqBzZazv,530,VULTURES 2,2024-08-03,67,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
5d4XWuMLbTuPMTPaMYA0VG,BACK TO ME,VULTURES 1,2024-02-09,67,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
5iroQL70VoSFrC8ZhVnskA,DO IT,VULTURES 1,2024-02-09,65,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
5MGMXOhVvwzCjFgdQsFokR,SLIDE,VULTURES 2,2024-08-03,62,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
1LaTWJ35Atk7Esoqxdb1WG,STARS,VULTURES 1,2024-02-09,64,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
4AiGz7pTyLXBHjniRuioaw,Starships,Pink Friday: Roman Reloaded The Re-Up,2012-01-01,48,['0hCNtLu0JehylgoiP8L4Gh']
2iVpUQJaQjOWGja05zyIj9,AGATS2 (Insecure) [with Nicki Minaj],The Party Never Ends 2.0,2024-11-30,67,"['4MCBfE4596Uoi2O4DtmEMz', '0hCNtLu0JehylgoiP8L4Gh']"
0puf9yIluy9W0vpMEUoAnN,Bang Bang,Sweet Talker (Deluxe Version),2014-10-10,78,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
3hlksXnvbKogFdPbpO9vel,Super Bass,Pink Friday (Complete Edition),2010-11-22,77,['0hCNtLu0JehylgoiP8L4Gh']
0dKg2vGC1hFqcK5LGTaKzX,Tusa,KG0516,2021-03-26,69,"['790FomKkXshlbRYZFtlgla', '0hCNtLu0JehylgoiP8L4Gh']"
58w5J5yNWeGZ7a4cM1rO7Y,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Nu King,2024-02-16,67,"['07YZf4WDAMNwqr4jfgOZ8y', '0hCNtLu0JehylgoiP8L4Gh', '7c0XG5cIJTrrAgEC3ULPiq']"
2yjlYDiNiQkdxVqTlaSrlX,Super Freaky Girl,Queen Radio: Volume 1,2022-08-26,67,['0hCNtLu0JehylgoiP8L4Gh']
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],2023-06-23,71,"['0hCNtLu0JehylgoiP8L4Gh', '3LZZPxNDGDFVSIPqf4JuEf', '6kBjAFKyd0he7LiA5GQ3Gz']"
1a73gcEg6h6Re6hHXoVltJ,FTCU,Pink Friday 2,2023-12-08,71,['0hCNtLu0JehylgoiP8L4Gh']
75u9uswC5UMdtv4SQ3xSYf,The Night Is Still Young,The Pinkprint (International Deluxe Explicit),2014-12-12,67,['0hCNtLu0JehylgoiP8L4Gh']
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,17,2017-08-25,85,['15UsOTVnJzReFVN1VCnxy4']
4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,"Come Over When You're Sober, Pt. 2",2018-11-09,85,"['2kCcBybjl3SAtIcwdWpUe3', '15UsOTVnJzReFVN1VCnxy4']"
7AQim7LbvFVZJE3O8TYgf2,Fuck Love,17,2017-08-25,84,"['15UsOTVnJzReFVN1VCnxy4', '6Xgp2XMz1fhVYe7i6yNAax']"
2ZRo7axmMPeSVUvDbGkJah,Hope,?,2018-03-16,83,['15UsOTVnJzReFVN1VCnxy4']
0JP9xo3adEtGSdUEISiszL,Moonlight,?,2018-03-16,82,['15UsOTVnJzReFVN1VCnxy4']
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,17,2017-08-25,81,['15UsOTVnJzReFVN1VCnxy4']
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,17,2017-08-25,80,['15UsOTVnJzReFVN1VCnxy4']
3ee8Jmje8o58CHK66QrVC2,SAD!,?,2018-03-16,79,['15UsOTVnJzReFVN1VCnxy4']
7floNISpH8VF4z4459Qo18,Look At Me!,Look At Me!,2017-02-20,79,['15UsOTVnJzReFVN1VCnxy4']
5de9Ho64dovuQI8Uhn5gPD,I Don't Wanna Do This Anymore,Revenge,2017-05-16,77,['15UsOTVnJzReFVN1VCnxy4']
