id,name,genres,popularity,followers,is_rapper
1m7LSAMIB1BErIHYSOn32W,DJ Scheme,viral rap,62.0,288851.0,1
6QhPWkWn4HiqXP9b3OMLKI,Trevor Rich,,44.0,532.0,0
6fOMl44jA4Sp5b9PpYCkzz,NF,"hip hop, pop rap",80.0,10463310.0,1
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,"alternative r&b, indie soul",62.0,462683.0,0
6HQYnRM4OzToCYPpVBInuU,Kamasi Washington,"afrofuturism, contemporary jazz, indie soul, jazz, jazz saxophone",56.0,487527.0,0
29gIYsdyccGoUc6qgkZeTK,SWAVAY,"atl hip hop, indie hip hop",47.0,39462.0,0
7ibAWtDtmEfaVhc1FJ3Vl9,Eric Bellinger,"pop r&b, r&b",64.0,914528.0,0
6p70iKebfMSl8zbkiEwOtS,Dinner Party,,52.0,17153.0,0
4s8ZGMVf3OiPktSP4ulpqU,9th Wonder,"alternative hip hop, hip hop, instrumental hip hop, north carolina hip hop",55.0,221907.0,0
6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,"dark trap, drill, hip hop, miami hip hop, rap, trap, underground hip hop",75.0,2689928.0,1
3DGlTwdM5Dim9XQipb3jMf,Jordan Ward,"indie hip hop, indie r&b",63.0,218063.0,0
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"atl hip hop, melodic rap, rap, trap",88.0,8497033.0,1
2TKC2gVUNBUAlFqfLUoaj0,Phoelix,indie hip hop,53.0,20494.0,0
2ARX1RhR3Ny0bMCbtYakkP,The Rej3ctz,,15.0,200.0,0
7jFaoqWPhYLrKzjzlpXmUO,David Banner,"conscious hip hop, crunk, dirty south rap, mississippi hip hop, southern hip hop",52.0,856167.0,1
3EGBR6AlUWQC7OV4s9ZntP,Jaz-O,golden age hip hop,28.0,6483.0,0
7v9bFXCdSMA2o3gS4nvp0F,Pimp C,"baton rouge rap, chopped and screwed, crunk, dirty south rap, houston rap",51.0,933588.0,1
12WRzRFga1tFlx0OAmFsFM,Ricky Luna,,36.0,2642.0,0
7zhmvqgx9btSAcmxI2EGuE,BJ,,32.0,225.0,0
